Gender,Shanghai_ranking,Publications,Citations,Recommendations,Interest score,Reads,h index,PISA rank,GDP (Millions $),HDI score,Position rank,Average h index
1,47,230,31986,37,15919,57567,69,19,23315081,0.921,0,26.894334
1,47,204,17365,23,8340,17909,52,19,23315081,0.921,4,26.894334
1,47,153,3863,80,2472,51463,32,19,23315081,0.921,3,26.894334
0,47,72,993,57,4998,6605,15,19,23315081,0.921,0,26.894334
0,47,68,641,11,3257,3649,15,19,23315081,0.921,4,26.894334
1,47,47,6111,74,2896,8282,20,19,23315081,0.921,1,26.894334
1,47,104,2521,1,1262,5157,21,19,23315081,0.921,0,26.894334
1,47,30,979,22,4966,2382,8,19,23315081,0.921,3,26.894334
0,47,112,2510,4,1185,7692,27,19,23315081,0.921,0,26.894334
1,47,61,3855,6,1899,17925,20,19,23315081,0.921,3,26.894334
0,47,97,7808,7,3614,40299,34,19,23315081,0.921,4,26.894334
1,47,79,4516,23,2134,6737,26,19,23315081,0.921,0,26.894334
1,47,69,2640,172,1569,18925,22,19,23315081,0.921,3,26.894334
1,47,166,2071,11,9947,2384,23,19,23315081,0.921,3,26.894334
1,47,99,4629,11,2237,13174,29,19,23315081,0.921,0,26.894334
1,47,106,2220,1,9836,1407,21,19,23315081,0.921,2,26.894334
1,47,53,333,3,1723,2284,8,19,23315081,0.921,3,26.894334
1,47,30,178,0,877,1645,9,19,23315081,0.921,3,26.894334
1,47,112,6648,177,3582,18480,27,19,23315081,0.921,0,26.894334
1,47,45,436,4,1905,2629,10,19,23315081,0.921,3,26.894334
0,47,43,556,3,2908,7251,15,19,23315081,0.921,3,26.894334
1,47,33,69,18,547,2083,4,19,23315081,0.921,0,26.894334
1,47,51,864,39,4836,2985,12,19,23315081,0.921,3,26.894334
0,47,38,510,1,2627,2605,9,19,23315081,0.921,3,26.894334
1,47,140,4515,18,2089,41711,38,19,23315081,0.921,4,26.894334
1,47,146,91,5,496,1523,4,19,23315081,0.921,0,26.894334
0,47,173,4013,8,1805,4886,38,19,23315081,0.921,0,26.894334
1,47,213,7090,219,3537,54365,35,19,23315081,0.921,0,26.894334
0,47,59,186,0,922,896,7,19,23315081,0.921,3,26.894334
0,47,46,813,34,3957,4165,12,19,23315081,0.921,3,26.894334
1,47,194,2685,81,1184,8498,29,19,23315081,0.921,3,26.894334
1,47,123,3745,167,2224,24261,34,19,23315081,0.921,3,26.894334
1,47,114,3971,21,1997,7609,31,19,23315081,0.921,4,26.894334
1,47,167,11765,48,5626,78113,56,19,23315081,0.921,0,26.894334
1,47,141,4016,63,1775,7610,33,19,23315081,0.921,0,26.894334
1,47,57,5050,222,2350,28610,24,19,23315081,0.921,3,26.894334
1,47,296,8569,86,3687,35522,50,19,23315081,0.921,0,26.894334
1,47,101,2858,4,1278,7937,31,19,23315081,0.921,0,26.894334
1,47,55,581,5,2983,4784,13,19,23315081,0.921,4,26.894334
1,47,29,712,1,3458,5642,16,19,23315081,0.921,3,26.894334
