,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
72,Ravit Madar,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Memory|Neuroscience|Medical Neurosciences,33.0,621.0,10.0,Evidence for a Developmental Role for TLR4 in Learning and Memory,3095.0,3143.0,13.0,https://www.researchgate.net/profile/Ravit-Madar
73,Einat Levy-Gigi,male,PhD,Israel,Bar Ilan University,301,The School of Eduction and the Gonda Multidisciplinary Brain Research Center,Learning|Hippocampus|Memory,59.0,889.0,52.0,"Association Among Clinical Response, Hippocampal Volume, and FKBP5 Gene Expression in Individuals with Posttraumatic Stress Disorder Receiving Cognitive Behavioral Therapy",5827.0,11456.0,15.0,https://www.researchgate.net/profile/Einat-Levy-Gigi
74,Noa Simon-Blecher,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Marine Ecology|Coral|Ecology,52.0,626.0,28.0,Striving for normality: Whole body regeneration through a series of abnormal generations,4299.0,6947.0,15.0,https://www.researchgate.net/profile/Noa-Simon-Blecher
75,Yuval Roichman,male,Nan,Israel,Bar Ilan University,301,Department of Mathematics,Nan,93.0,1287.0,0.0,Random Cayley Graphs and Expanders,5675.0,3181.0,19.0,https://www.researchgate.net/profile/Yuval-Roichman
76,Gil S. Epstein,male,Professor of Economics,Israel,Bar Ilan University,301,Department of Economics,Governance|Economic Growth|International Trade,202.0,2919.0,200.0,"Enclaves, Language, and the Location Choice of Migrants",1460.0,24181.0,30.0,https://www.researchgate.net/profile/Gil-Epstein
77,Tomer Lewi,male,PhD,Israel,Bar Ilan University,301,Faculty of Engineering,Integrated Optics|Metamaterials|Plasmonics,38.0,561.0,16.0,Widely Tunable Infrared Antennas Using Free Carrier Refraction,2946.0,3413.0,13.0,https://www.researchgate.net/profile/Tomer-Lewi
78,Sharon Armon-Lotem,male,Prof.,Israel,Bar Ilan University,301,English Literature and Linguistics & Gonda Multidisciplinary Brain Research Center,Language|Language Acquisition|Applied Linguistics,86.0,1760.0,86.0,Assessing multilingual children: Disentangling bilingualism from language impairment,1450.0,43168.0,24.0,https://www.researchgate.net/profile/Sharon-Armon-Lotem
79,Yuri Kaganovskii,male,Ph.D.,Israel,Bar Ilan University,301,Department of Physics,Materials|Solid State Physics|Thin Films,154.0,1219.0,12.0,Kinetics of WC-Co Oxidation Accompanied by Swelling,5719.0,9984.0,20.0,https://www.researchgate.net/profile/Yuri-Kaganovskii
80,Rachela Popovtzer,male,PhD,Israel,Bar Ilan University,301,Faculty of Engineering & The Institute of Nanotechnology and Advanced Materials,Nan,115.0,4907.0,28.0,Targeted Gold Nanoparticles Enable Molecular CT Imaging of Cancer,2233.0,13500.0,37.0,https://www.researchgate.net/profile/Rachela-Popovtzer
81,Michael Megrelishvili,male,Professor,Israel,Bar Ilan University,301,Department of Mathematics,Functional Analysis|Algebra|Harmonic Analysis,73.0,1133.0,16.0,Hereditarily non-sensitive dynamical systems and linear representations,5144.0,6952.0,21.0,https://www.researchgate.net/profile/Michael-Megrelishvili
